Id,Gender,Country Code,Country,Living Zone,Age,Age Group,Children,Education Level,Full Time Job,Job Title,Job Code,Qs_Awareness,Qs_Vote,Qs_Effect,Qs_Arguments For,Qs_Arguments Against,Quantity
f6e7ee00-deac-0133-4de8,Male,AT,Austria,CountrySide,61 years old,40_65,No,No,No,,,I know something about it,I would not vote,None of the above,None of the above,None of the above,1
54f0f1c0-dda1-0133-a559,Male,AT,Austria,Urban,57 years old,40_65,Yes,High,Yes,Automatic Data Processing Planner,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working,1
83127080-da3d-0133-c74f,Male,AT,Austria,City,32 years old,26_39,No,,No,,,I have heard just a little about it,I would not vote,Gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,1
15626d40-db13-0133-ea5c,Male,AT,Austria,Country,45 years old,40_65,Yes,High,Yes,Data Coordinator,049a3f3a2b5f85cb2971ba77ad66e10c,I have heard just a little about it,I would probably vote for it,Work less,It reduces anxiety about financing basic needs,None of the above,1
24954a70-db98-0133-4a64,Female,AT,Austria,City,41 years old,40_65,Yes,High,Yes,Database Developer,f4b2fb1aa40f661488e2782b6d57ad2f,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,1
28583060-dbe2-0133-ff9c,Female,AT,Austria,CountrySide,1990,26_39,No,High,Yes,Data Entry Specialist,27af8700f5577cec835acee2cb90a2ff,I understand it fully,I would vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward,1
b50dbb80-da53-0133-8956,Female,AT,Austria,Urban,1990,26_39,No,Medium,No,,,I know something about it,I would probably vote for it,Work as a freelancer,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state,1
dd743bb0-d9a5-0133-53b2,Male,AT,Austria,Urban,47 years old,40_65,No,Medium,Yes,Database Architect,c1b670eba9ccb65e7c99f7da116d5b9c,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state,1
4fde2370-da48-0133-3a42,Female,AT,Austria,City,34 years old,26_39,No,Medium,Yes,Geographic Information Systems Database Administrator (GIS Database Administrator),d71c4164c99a5f9bca773e755a72f40f,I have heard just a little about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,1
9949c4c0-da5f-0133-c832,Female,AT,Austria,Urban,1994,0_13,Yes,No,No,,,I understand it fully,I would vote for it,Do more volunteering work,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,1
226cf850-db28-0133-c51a,Male,AT,Austria,Urban,49 years old,40_65,No,High,Yes,Crime Data Specialist,2ee80cf30e2483dfe0947adc0428f8c5,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state,1
69f1f400-dc5f-0133-ad9b,Male,AT,Austria,City,58 years old,40_65,Yes,Medium,No,,,I know something about it,I would probably vote for it,Stop working,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,1
2351fbe0-de4c-0133-0d58,Female,AT,Austria,Urban,1991,14_25,No,Low,Yes,Data Communications Software Consultant,897ef18a9321616495831a4b4b0c1bb2,I have never heard of it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,1
