Country,Job Title,Living Zone,Quantity,Percentage
Austria,Computer or Data Processing Systems Consultant,Rural,1,0.18
Austria,Data Base Design Analyst,Rural,1,0.18
Austria,Data Coder Operator,Rural,1,0.18
Austria,Data Communications Software Consultant,Rural,1,0.18
Austria,Data Coordinator,Rural,1,0.18
Austria,Data Processing Auditor,Rural,1,0.18
Austria,Data Security Analyst,Rural,1,0.18
Austria,Database Design Analyst,Rural,1,0.18
Austria,Database Development and Administration Project Manager,Rural,1,0.18
Austria,Database Engineer,Rural,1,0.18
Austria,Database Marketing Analyst,Rural,1,0.18
Austria,Database Security Administrator,Rural,1,0.18
Austria,Database Software Technician,Rural,1,0.18
Austria,Databases Computer Consultant,Rural,1,0.18
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),Rural,1,0.18
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,1,0.18
Austria,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,0.18
Austria,Internet Database Specialist,Rural,1,0.18
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Rural,1,0.18
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,1,0.18
Belgium,Clinical Data Associate,Rural,2,0.37
Belgium,Data Communications Analyst,Rural,1,0.18
Belgium,Data Entry Representative,Rural,1,0.18
Belgium,Data Entry Specialist,Rural,1,0.18
Belgium,Data Officer,Rural,2,0.37
Belgium,Data Recovery Planner,Rural,1,0.18
Belgium,Data Security Analyst,Rural,1,0.18
Belgium,Data Systems Manager,Rural,1,0.18
Belgium,Data Warehouse Developer,Rural,1,0.18
Belgium,Data Warehouse Specialist,Rural,1,0.18
Belgium,Database Consultant,Rural,1,0.18
Belgium,Database Management System Specialist (DBMS Specialist),Rural,1,0.18
Belgium,Database Marketing Analyst,Rural,1,0.18
Belgium,Director of Data Operations,Rural,1,0.18
Belgium,Field Artillery Automated Tactical Data System Specialist,Rural,1,0.18
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,0.18
Belgium,Health Data Analyst,Rural,1,0.18
Belgium,Log Data Technician,Rural,1,0.18
Bulgaria,Data Management Information Technology Specialist,Rural,1,0.18
Bulgaria,Data Processing Auditor,Rural,1,0.18
Bulgaria,Database Tester,Rural,1,0.18
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,0.18
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Rural,1,0.18
Croatia,Data Administrator,Rural,1,0.18
Croatia,Data Coordinator,Rural,1,0.18
Croatia,Data Security Administrator,Rural,1,0.18
Czechia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,2,0.37
Czechia,Computer or Data Processing Systems Consultant,Rural,1,0.18
Czechia,Data Acquisition Technician,Rural,1,0.18
Czechia,Data Architect,Rural,1,0.18
Czechia,Data Entry Machine Operator,Rural,1,0.18
Czechia,Data Operations Director,Rural,1,0.18
Czechia,Data Processing Mechanic,Rural,1,0.18
Czechia,Data Processing Systems Project Planner,Rural,1,0.18
Czechia,Data Scientist,Rural,1,0.18
Czechia,Data Storage Specialist,Rural,1,0.18
Czechia,Data Systems Manager,Rural,1,0.18
Czechia,Data Warehouse Architect,Rural,1,0.18
Czechia,Database Administrator (DBA),Rural,1,0.18
Czechia,Database Architect,Rural,1,0.18
Czechia,Database Security Administrator,Rural,1,0.18
Czechia,Databases Software Consultant,Rural,1,0.18
Czechia,GPS Field Data Collector (Global Positioning System Field Data Collector),Rural,1,0.18
Czechia,Naval Tactical Data System--Combat Information Center Officer,Rural,1,0.18
Denmark,Clinical Data Manager,Rural,1,0.18
Denmark,Data Architect,Rural,1,0.18
Denmark,Data Communications Software Consultant,Rural,1,0.18
Denmark,Data Keyer,Rural,1,0.18
Denmark,Data Warehousing Specialist,Rural,1,0.18
Denmark,Internet Database Specialist,Rural,1,0.18
Denmark,Survey Data Technician,Rural,1,0.18
Finland,Computer or Data Processing Systems Consultant,Rural,1,0.18
Finland,Data Officer,Rural,1,0.18
Finland,Data Processing Systems Analyst,Rural,1,0.18
Finland,Data Storage Specialist,Rural,1,0.18
Finland,Field Artillery Automated Tactical Data System Specialist,Rural,1,0.18
Finland,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,1,0.18
Finland,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,0.18
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,2,0.37
France,Automatic Data Processing Planner (ADP Planner),Rural,1,0.18
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,3,0.55
France,Business Database Analyst,Rural,1,0.18
France,Clinical Data Coordinator,Rural,1,0.18
France,Clinical Data Management Associate Director,Rural,1,0.18
France,Computer or Data Processing Systems Consultant,Rural,3,0.55
France,Data Administrator,Rural,1,0.18
France,Data Architect,Rural,2,0.37
France,Data Base Design Analyst,Rural,1,0.18
France,Data Collection Technician,Rural,1,0.18
France,Data Communications Analyst,Rural,2,0.37
France,Data Communications Software Consultant,Rural,2,0.37
France,Data Communications Technician,Rural,1,0.18
France,Data Coordinator,Rural,2,0.37
France,Data Entry Clerk,Rural,1,0.18
France,Data Entry Machine Operator,Rural,1,0.18
France,Data Entry Representative,Rural,1,0.18
France,Data Entry Specialist,Rural,1,0.18
France,Data Management Associate,Rural,4,0.73
France,Data Management Information Technology Specialist,Rural,2,0.37
France,Data Manager,Rural,1,0.18
France,Data Miner,Rural,5,0.91
France,Data Modeling Specialist,Rural,1,0.18
France,Data Operations Director,Rural,3,0.55
France,Data Processing Auditor,Rural,1,0.18
France,Data Processing Manager,Rural,2,0.37
France,Data Processing Systems Analyst,Rural,3,0.55
France,Data Scientist,Rural,1,0.18
France,Data Security Administrator,Rural,2,0.37
France,Data Specialist,Rural,1,0.18
France,Data Storage Specialist,Rural,3,0.55
France,Data Systems Manager,Rural,2,0.37
France,Data Technician,Rural,1,0.18
France,Data Transcriber,Rural,1,0.18
France,Data Warehouse Analyst,Rural,1,0.18
France,Data Warehouse Developer,Rural,1,0.18
France,Data Warehouse Specialist,Rural,2,0.37
France,Data Warehousing Manager,Rural,2,0.37
France,Database Administration Associate,Rural,4,0.73
France,Database Administration Project Manager,Rural,1,0.18
France,Database Architect,Rural,1,0.18
France,Database Consultant,Rural,1,0.18
France,Database Coordinator,Rural,4,0.73
France,Database Design Analyst,Rural,1,0.18
France,Database Designer,Rural,4,0.73
France,Database Development and Administration Project Manager,Rural,2,0.37
France,Database Engineer,Rural,1,0.18
France,Database Management System Specialist (DBMS Specialist),Rural,2,0.37
France,Database Marketing Analyst,Rural,3,0.55
France,Database Modeler,Rural,4,0.73
France,Database Programmer,Rural,1,0.18
France,Database Security Administrator,Rural,4,0.73
France,Database Security Expert,Rural,2,0.37
France,Database Software Technician,Rural,2,0.37
France,Database Specialist,Rural,2,0.37
France,Database Tester,Rural,3,0.55
France,Databases Computer Consultant,Rural,1,0.18
France,Databases Software Consultant,Rural,1,0.18
France,Director of Data Operations,Rural,4,0.73
France,Electronic Data Interchange System Developer (EDI System Developer),Rural,3,0.55
France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Rural,2,0.37
France,Field Traffic Data Technician,Rural,1,0.18
France,Flight Test Data Acquisition Technician,Rural,1,0.18
France,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,3,0.55
France,Geographic Information Systems Data Specialist (GIS Data Specialist),Rural,2,0.37
France,Head of Information Systems and Data Processing,Rural,1,0.18
France,Internet Database Specialist,Rural,2,0.37
France,Log Data Technician,Rural,1,0.18
France,Maintenance Data Analyst,Rural,1,0.18
France,Medical Data Analyst,Rural,1,0.18
France,Micro Computer Data Processor,Rural,1,0.18
